mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.09707824389139812,0.00870407377802383,0.016117652257283527,0.0016726450822145372,,2,50,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9361702127659575,0.9787234042553191,0.9716312056737588,0.02653657721116269,13
0.16661810874938965,0.001210373536999932,0.025209824244181316,0.0021209847702755216,,2,100,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9787234042553191,0.9787234042553191,0.9858156028368793,0.010029883421085795,1
0.33832693099975586,0.009399579729618282,0.04848162333170573,0.003031194796012733,,2,200,"{'max_depth': None, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.1015772024790446,0.005577982685519893,0.01598668098449707,0.0018805106492839469,,5,50,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.9361702127659575,0.9787234042553191,0.9716312056737588,0.02653657721116269,13
0.18509991963704428,0.015144365635973754,0.0235745112101237,0.0007086400826913159,,5,100,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.3285379409790039,0.004547085600387641,0.0464934508005778,0.003145395549763061,,5,200,"{'max_depth': None, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.08531904220581055,0.0024460074517582806,0.013430913289388021,0.000927201329163163,10,2,50,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9361702127659575,0.9787234042553191,0.9716312056737588,0.02653657721116269,13
0.1699542204538981,0.009477616134806957,0.02325924237569173,0.0002847684346137665,10,2,100,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9787234042553191,0.9787234042553191,0.9858156028368793,0.010029883421085795,1
0.36255311965942383,0.0356980392087826,0.04672956466674805,0.002181038358143557,10,2,200,"{'max_depth': 10, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.09052411715189616,0.0035139578514788885,0.013741731643676758,0.0006093346735105931,10,5,50,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.9361702127659575,0.9787234042553191,0.9716312056737588,0.02653657721116269,13
0.17261536916097006,0.0014731409503014649,0.02426886558532715,0.000629856312277716,10,5,100,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.3313126564025879,0.010269331255041014,0.04590376218159994,0.0004771196138082181,10,5,200,"{'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.09363985061645508,0.015045951394125201,0.014740864435831705,0.002011678754034816,20,2,50,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 50}",1.0,0.9361702127659575,0.9787234042553191,0.9716312056737588,0.02653657721116269,13
0.18057696024576822,0.015082940534212835,0.02433323860168457,0.0008595494926976256,20,2,100,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 100}",1.0,0.9787234042553191,0.9787234042553191,0.9858156028368793,0.010029883421085795,1
0.32977787653605145,0.003740179731638549,0.04462536176045736,0.0005010219312968283,20,2,200,"{'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.08350626627604167,0.0014963788267181772,0.013167222340901693,0.0004198312361485991,20,5,50,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 50}",1.0,0.9361702127659575,0.9787234042553191,0.9716312056737588,0.02653657721116269,13
0.18358953793843588,0.02353417729343482,0.024376551310221355,0.0014261427015986974,20,5,100,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 100}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
0.35668261845906574,0.026747632903235327,0.05295149485270182,0.007345741424835603,20,5,200,"{'max_depth': 20, 'min_samples_split': 5, 'n_estimators': 200}",1.0,0.9574468085106383,0.9787234042553191,0.9787234042553191,0.0173722676793133,4
